epoch,loss,mae,val_loss,val_mae
0,0.4704602062702179,0.5073875784873962,0.2930494546890259,0.4074140191078186
1,0.3953849971294403,0.46495527029037476,0.2694002091884613,0.39077228307724
2,0.38132211565971375,0.4557896554470062,0.30029600858688354,0.4292662441730499
3,0.36997199058532715,0.44893383979797363,0.2854267954826355,0.40291810035705566
4,0.3593931198120117,0.4431796371936798,0.283833771944046,0.4094226658344269
5,0.3548887372016907,0.44060373306274414,0.2618646025657654,0.3761708438396454
6,0.3470814526081085,0.43559974431991577,0.29142284393310547,0.42148664593696594
7,0.3423238694667816,0.4329124093055725,0.2655332684516907,0.38439464569091797
8,0.3387853503227234,0.43131276965141296,0.29278644919395447,0.3945970833301544
9,0.3307197093963623,0.42592090368270874,0.2660757005214691,0.37444931268692017
10,0.32578209042549133,0.42370250821113586,0.2827293872833252,0.38911643624305725
11,0.3242725729942322,0.4223811626434326,0.27321216464042664,0.38515880703926086
12,0.316022664308548,0.417765736579895,0.28959330916404724,0.3989694118499756
13,0.31122785806655884,0.4157832860946655,0.28174710273742676,0.39341020584106445
14,0.31029120087623596,0.41466450691223145,0.2810154855251312,0.39721202850341797
15,0.3058457672595978,0.41190841794013977,0.2882918119430542,0.4062262773513794
