epoch,loss,mae,val_loss,val_mae
0,0.5508808493614197,0.5202261209487915,0.2580548822879791,0.3825126588344574
1,0.32284316420555115,0.4221227467060089,0.24329380691051483,0.37296169996261597
2,0.3149493336677551,0.4157707393169403,0.24126100540161133,0.3682916760444641
3,0.31143471598625183,0.4138028621673584,0.24625572562217712,0.3724621534347534
4,0.3097156286239624,0.4124760627746582,0.24064886569976807,0.3636479675769806
5,0.30945640802383423,0.4119565188884735,0.24322697520256042,0.36747997999191284
6,0.30899277329444885,0.41142597794532776,0.25793027877807617,0.3861391544342041
7,0.30921727418899536,0.41094931960105896,0.24976307153701782,0.37560662627220154
8,0.30776718258857727,0.41011863946914673,0.24064475297927856,0.36334773898124695
9,0.30655577778816223,0.40882474184036255,0.25931409001350403,0.3835162818431854
10,0.3048594892024994,0.4079964756965637,0.24527530372142792,0.36825674772262573
11,0.3052384555339813,0.4078060984611511,0.247283473610878,0.36872920393943787
12,0.30262014269828796,0.40604761242866516,0.23226377367973328,0.35606649518013
13,0.30334413051605225,0.40648984909057617,0.23853009939193726,0.35943296551704407
14,0.301537424325943,0.40530887246131897,0.24934455752372742,0.3735499083995819
15,0.30124297738075256,0.40495210886001587,0.24304553866386414,0.3683192729949951
16,0.3018752336502075,0.4052349328994751,0.2416873425245285,0.3654286861419678
17,0.30041778087615967,0.4038979411125183,0.23683834075927734,0.3615846335887909
18,0.3001365661621094,0.4043470025062561,0.2572988271713257,0.3783700466156006
19,0.3005185127258301,0.4046771824359894,0.24747037887573242,0.3671432137489319
20,0.2996244728565216,0.4038254916667938,0.252021461725235,0.37447646260261536
21,0.2995450794696808,0.40355291962623596,0.2398468405008316,0.3668074905872345
22,0.2993423044681549,0.4036581218242645,0.24898990988731384,0.3678304851055145
