epoch,loss,mae,val_loss,val_mae
0,0.5311204791069031,0.5437408685684204,0.3565150499343872,0.46997693181037903
1,0.3768899738788605,0.46141162514686584,0.3215271234512329,0.43653377890586853
2,0.3217930197715759,0.4279778003692627,0.35583457350730896,0.4525914788246155
3,0.2808759808540344,0.39966875314712524,0.3730471134185791,0.45880210399627686
4,0.24857020378112793,0.3753674030303955,0.4312970042228699,0.49424847960472107
5,0.22383557260036469,0.355394184589386,0.43186596035957336,0.5014788508415222
6,0.20561444759368896,0.3399401009082794,0.42518696188926697,0.49112823605537415
7,0.19317936897277832,0.32862773537635803,0.4398703873157501,0.5080507397651672
8,0.1816912293434143,0.3183600902557373,0.42923134565353394,0.5052896738052368
9,0.1711718589067459,0.3086434602737427,0.4887508153915405,0.5386122465133667
10,0.16402952373027802,0.3022192120552063,0.4132380187511444,0.4899185299873352
11,0.15492603182792664,0.2939293682575226,0.4494799077510834,0.5123977661132812
