epoch,loss,mae,val_loss,val_mae
0,0.46914994716644287,0.49351054430007935,0.26927900314331055,0.3852471709251404
1,0.36558353900909424,0.4390155076980591,0.26725640892982483,0.37800201773643494
2,0.31885287165641785,0.41241922974586487,0.2797793447971344,0.378458708524704
3,0.27904465794563293,0.3895653188228607,0.26859593391418457,0.3821904957294464
4,0.24174156785011292,0.36399954557418823,0.28929921984672546,0.38893240690231323
5,0.21113398671150208,0.3407077193260193,0.30549266934394836,0.4060952067375183
6,0.18951989710330963,0.32173532247543335,0.37460750341415405,0.46859967708587646
7,0.16882577538490295,0.30333951115608215,0.35397085547447205,0.44278812408447266
8,0.16043424606323242,0.29436179995536804,0.3757275938987732,0.4588620662689209
9,0.15171991288661957,0.28576353192329407,0.3657151460647583,0.45314255356788635
10,0.1462547928094864,0.2802921235561371,0.39358893036842346,0.4679832458496094
11,0.14073625206947327,0.27466827630996704,0.39356064796447754,0.46932223439216614
