epoch,loss,mae,val_loss,val_mae
0,34.477725982666016,2.3273730278015137,1.779205083847046,1.0017859935760498
1,1,0.3889998495578766,0.47001078724861145,0.3635150194168091,0.47438889741897583
2,0.3253311812877655,0.43069693446159363,0.34500187635421753,0.45434245467185974
3,0.28177738189697266,0.4010806679725647,0.3669028878211975,0.47665834426879883
4,0.24854382872581482,0.3765866160392761,0.37601688504219055,0.47176501154899597
5,0.2258194386959076,0.3578144907951355,0.4809701442718506,0.5510706901550293
6,0.20996347069740295,0.3438895642757416,0.4405805170536041,0.5206140279769897
7,0.19624003767967224,0.3313407003879547,0.39428743720054626,0.48315271735191345
8,0.18948714435100555,0.324953556060791,0.43240299820899963,0.5086705088615417
9,0.181959867477417,0.31804022192955017,0.470947802066803,0.5407939553260803
10,0.17506685853004456,0.3119760751724243,0.5137490630149841,0.5650061964988708
059033870697,0.43431395292282104,0.2471463531255722,0.3749755322933197
12,0.34606462717056274,0.43495693802833557,0.2538135349750519,0.37401971220970154
13,0.34530720114707947,0.4336862564086914,0.25081756711006165,0.3815750479698181
14,0.34380075335502625,0.43291175365448,0.2529982328414917,0.37569835782051086
15,0.34412628412246704,0.4324376583099365,0.2524023652076721,0.3737225830554962
16,0.34309127926826477,0.43229761719703674,0.2553107440471649,0.3750385344028473
17,0.3439120054244995,0.43209561705589294,0.2466348111629486,0.3733704090118408
18,0.34344664216041565,0.43175002932548523,0.240720734000206,0.3658199906349182
19,0.34258073568344116,0.43131935596466064,0.24915724992752075,0.37923291325569153
20,0.34336912631988525,0.4319121837615967,0.24921709299087524,0.3751988410949707
21,0.34170660376548767,0.4309735596179962,0.2448972761631012,0.3677372634410858
22,0.3423057198524475,0.43153899908065796,0.2456112653017044,0.37113964557647705
23,0.34209540486335754,0.43140918016433716,0.25572898983955383,0.37721630930900574
24,0.3420443832874298,0.4310152232646942,0.25868359208106995,0.3823103904724121
25,0.3429856300354004,0.4315977394580841,0.24439331889152527,0.37019556760787964
26,0.34390789270401,0.43227091431617737,0.24685567617416382,0.37019577622413635
27,0.34125232696533203,0.43021276593208313,0.2476269006729126,0.37446096539497375
28,0.34179598093032837,0.4307699203491211,0.25636398792266846,0.38930463790893555
