Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,Denmark,Denmark,DK,110.08,158.51,84.85,83.55,entsoe.eu,false,""
2024-01-01T01:00:00.000000,Denmark,Denmark,DK,109.77,157.22,84.95,83.86,entsoe.eu,false,""
2024-01-01T02:00:00.000000,Denmark,Denmark,DK,110.85,157.24,84.78,83.77,entsoe.eu,false,""
2024-01-01T03:00:00.000000,Denmark,Denmark,DK,115.97,163.46,84.25,82.62,entsoe.eu,false,""
2024-01-01T04:00:00.000000,Denmark,Denmark,DK,110.73,157.77,84.25,82.31,entsoe.eu,false,""
2024-01-01T05:00:00.000000,Denmark,Denmark,DK,113.83,162.01,83.87,81.48,entsoe.eu,false,""
2024-01-01T06:00:00.000000,Denmark,Denmark,DK,118.49,167.46,83.53,81.62,entsoe.eu,false,""
2024-01-01T07:00:00.000000,Denmark,Denmark,DK,119.08,169.01,83.17,80.75,entsoe.eu,false,""
2024-01-01T08:00:00.000000,Denmark,Denmark,DK,117.2,166.82,83.88,82.78,entsoe.eu,false,""
2024-01-01T09:00:00.000000,Denmark,Denmark,DK,121.84,175.45,83.23,82.69,entsoe.eu,false,""
2024-01-01T10:00:00.000000,Denmark,Denmark,DK,122.57,177.92,83.22,82.68,entsoe.eu,false,""
2024-01-01T11:00:00.000000,Denmark,Denmark,DK,126.12,183.11,82.73,81.95,entsoe.eu,false,""
2024-01-01T12:00:00.000000,Denmark,Denmark,DK,130.5,191.42,82.24,81.09,entsoe.eu,false,""
2024-01-01T13:00:00.000000,Denmark,Denmark,DK,137.03,199.24,81.43,79.03,entsoe.eu,false,""
2024-01-01T14:00:00.000000,Denmark,Denmark,DK,144.07,211.15,80.36,77.75,entsoe.eu,false,""
2024-01-01T15:00:00.000000,Denmark,Denmark,DK,150.22,218.85,79.75,77.21,entsoe.eu,false,""
2024-01-01T16:00:00.000000,Denmark,Denmark,DK,160.48,228.84,78.58,76.24,entsoe.eu,false,""
2024-01-01T17:00:00.000000,Denmark,Denmark,DK,161.6,228.46,78.32,75.87,entsoe.eu,false,""
2024-01-01T18:00:00.000000,Denmark,Denmark,DK,154.94,218.86,79.43,77.23,entsoe.eu,false,""
2024-01-01T19:00:00.000000,Denmark,Denmark,DK,139.72,202.55,80.64,77.23,entsoe.eu,false,""
2024-01-01T20:00:00.000000,Denmark,Denmark,DK,133.74,192.65,81.4,78.02,entsoe.eu,false,""
2024-01-01T21:00:00.000000,Denmark,Denmark,DK,134.44,193.6,81.89,79.07,entsoe.eu,false,""
2024-01-01T22:00:00.000000,Denmark,Denmark,DK,114.86,168.47,83.23,78.47,entsoe.eu,false,""
2024-01-01T23:00:00.000000,Denmark,Denmark,DK,119.12,168.52,82.64,77.62,entsoe.eu,false,""
2024-01-02T00:00:00.000000,Denmark,Denmark,DK,127.77,177.55,81.72,76.73,entsoe.eu,false,""
2024-01-02T01:00:00.000000,Denmark,Denmark,DK,125.05,175.91,81.77,76.59,entsoe.eu,false,""
2024-01-02T02:00:00.000000,Denmark,Denmark,DK,121.18,171.51,82.34,77.29,entsoe.eu,false,""
2024-01-02T03:00:00.000000,Denmark,Denmark,DK,118.58,167.86,82.66,77.82,entsoe.eu,false,""
2024-01-02T04:00:00.000000,Denmark,Denmark,DK,114.1,164.65,83.15,78.95,entsoe.eu,false,""
2024-01-02T05:00:00.000000,Denmark,Denmark,DK,112.41,166.99,83.54,80.26,entsoe.eu,false,""
2024-01-02T06:00:00.000000,Denmark,Denmark,DK,126.76,183.76,82.06,79.82,entsoe.eu,false,""
2024-01-02T07:00:00.000000,Denmark,Denmark,DK,127.88,186.5,82.26,80.72,entsoe.eu,false,""
2024-01-02T08:00:00.000000,Denmark,Denmark,DK,126.73,186.25,82.36,80.87,entsoe.eu,false,""
2024-01-02T09:00:00.000000,Denmark,Denmark,DK,119.97,179.15,82.92,81.97,entsoe.eu,false,""
2024-01-02T10:00:00.000000,Denmark,Denmark,DK,110.43,165.95,84.17,83.51,entsoe.eu,false,""
2024-01-02T11:00:00.000000,Denmark,Denmark,DK,103.43,159.66,85.13,84.92,entsoe.eu,false,""
2024-01-02T12:00:00.000000,Denmark,Denmark,DK,100.66,154.47,85.56,85.18,entsoe.eu,false,""
2024-01-02T13:00:00.000000,Denmark,Denmark,DK,96.92,148.37,85.87,85.66,entsoe.eu,false,""
2024-01-02T14:00:00.000000,Denmark,Denmark,DK,104.12,156.93,84.79,84.59,entsoe.eu,false,""
2024-01-02T15:00:00.000000,Denmark,Denmark,DK,105.23,157.87,84.66,84.36,entsoe.eu,false,""
2024-01-02T16:00:00.000000,Denmark,Denmark,DK,99.1,149.86,85.64,85.45,entsoe.eu,false,""
2024-01-02T17:00:00.000000,Denmark,Denmark,DK,95.74,145.96,86.22,86.02,entsoe.eu,false,""
2024-01-02T18:00:00.000000,Denmark,Denmark,DK,99.13,146.18,86.3,85.49,entsoe.eu,false,""
2024-01-02T19:00:00.000000,Denmark,Denmark,DK,94.06,141.2,87.14,86.46,entsoe.eu,false,""
2024-01-02T20:00:00.000000,Denmark,Denmark,DK,85.01,129.18,88.48,87.65,entsoe.eu,false,""
2024-01-02T21:00:00.000000,Denmark,Denmark,DK,81.73,123.51,89.01,88.41,entsoe.eu,false,""
2024-01-02T22:00:00.000000,Denmark,Denmark,DK,77.86,117.58,89.6,89.03,entsoe.eu,false,""
2024-01-02T23:00:00.000000,Denmark,Denmark,DK,73.19,113.36,90.28,89.37,entsoe.eu,false,""
2024-01-03T00:00:00.000000,Denmark,Denmark,DK,74.32,113.62,90.05,89.0,entsoe.eu,false,""
2024-01-03T01:00:00.000000,Denmark,Denmark,DK,75.54,114.62,89.96,89.26,entsoe.eu,false,""
2024-01-03T02:00:00.000000,Denmark,Denmark,DK,76.28,115.22,89.82,89.04,entsoe.eu,false,""
2024-01-03T03:00:00.000000,Denmark,Denmark,DK,76.92,115.92,89.56,88.63,entsoe.eu,false,""
2024-01-03T04:00:00.000000,Denmark,Denmark,DK,75.9,115.32,89.35,87.76,entsoe.eu,false,""
2024-01-03T05:00:00.000000,Denmark,Denmark,DK,73.7,114.06,89.6,88.34,entsoe.eu,false,""
2024-01-03T06:00:00.000000,Denmark,Denmark,DK,80.27,122.2,89.14,88.35,entsoe.eu,false,""
2024-01-03T07:00:00.000000,Denmark,Denmark,DK,96.64,142.33,86.98,86.14,entsoe.eu,false,""
2024-01-03T08:00:00.000000,Denmark,Denmark,DK,93.34,139.84,87.37,86.58,entsoe.eu,false,""
2024-01-03T09:00:00.000000,Denmark,Denmark,DK,91.55,138.53,87.57,86.85,entsoe.eu,false,""
2024-01-03T10:00:00.000000,Denmark,Denmark,DK,92.16,138.62,87.5,86.79,entsoe.eu,false,""
2024-01-03T11:00:00.000000,Denmark,Denmark,DK,96.08,141.83,87.0,86.25,entsoe.eu,false,""
2024-01-03T12:00:00.000000,Denmark,Denmark,DK,101.55,147.2,86.2,85.34,entsoe.eu,false,""
2024-01-03T13:00:00.000000,Denmark,Denmark,DK,102.36,148.3,86.07,85.13,entsoe.eu,false,""
2024-01-03T14:00:00.000000,Denmark,Denmark,DK,109.09,156.57,85.0,84.01,entsoe.eu,false,""
2024-01-03T15:00:00.000000,Denmark,Denmark,DK,120.57,169.47,82.97,81.97,entsoe.eu,false,""
2024-01-03T16:00:00.000000,Denmark,Denmark,DK,122.68,173.9,82.47,81.91,entsoe.eu,false,""
2024-01-03T17:00:00.000000,Denmark,Denmark,DK,118.22,171.43,83.0,82.74,entsoe.eu,false,""
2024-01-03T18:00:00.000000,Denmark,Denmark,DK,119.53,172.05,82.77,82.64,entsoe.eu,false,""
2024-01-03T19:00:00.000000,Denmark,Denmark,DK,122.52,174.58,82.45,81.98,entsoe.eu,false,""
2024-01-03T20:00:00.000000,Denmark,Denmark,DK,109.0,161.96,84.99,84.22,entsoe.eu,false,""
2024-01-03T21:00:00.000000,Denmark,Denmark,DK,98.45,151.55,86.56,85.37,entsoe.eu,false,""
2024-01-03T22:00:00.000000,Denmark,Denmark,DK,104.37,156.62,85.82,84.94,entsoe.eu,false,""
2024-01-03T23:00:00.000000,Denmark,Denmark,DK,104.61,153.31,85.73,84.61,entsoe.eu,false,""
2024-01-04T00:00:00.000000,Denmark,Denmark,DK,104.23,151.44,85.16,83.48,entsoe.eu,false,""
2024-01-04T01:00:00.000000,Denmark,Denmark,DK,96.14,142.22,86.14,84.48,entsoe.eu,false,""
2024-01-04T02:00:00.000000,Denmark,Denmark,DK,94.06,139.4,86.65,84.99,entsoe.eu,false,""
2024-01-04T03:00:00.000000,Denmark,Denmark,DK,98.96,144.75,86.04,84.27,entsoe.eu,false,""
2024-01-04T04:00:00.000000,Denmark,Denmark,DK,108.49,156.88,85.02,83.74,entsoe.eu,false,""
2024-01-04T05:00:00.000000,Denmark,Denmark,DK,117.56,169.7,83.56,83.03,entsoe.eu,false,""
2024-01-04T06:00:00.000000,Denmark,Denmark,DK,136.05,192.48,80.75,80.39,entsoe.eu,false,""
2024-01-04T07:00:00.000000,Denmark,Denmark,DK,146.56,205.43,78.68,78.27,entsoe.eu,false,""
2024-01-04T08:00:00.000000,Denmark,Denmark,DK,163.35,220.9,76.66,76.07,entsoe.eu,false,""
2024-01-04T09:00:00.000000,Denmark,Denmark,DK,165.87,227.37,76.22,75.54,entsoe.eu,false,""
2024-01-04T10:00:00.000000,Denmark,Denmark,DK,192.01,253.84,73.12,72.39,entsoe.eu,false,""
2024-01-04T11:00:00.000000,Denmark,Denmark,DK,205.87,269.31,71.38,70.45,entsoe.eu,false,""
2024-01-04T12:00:00.000000,Denmark,Denmark,DK,234.03,300.18,68.06,66.59,entsoe.eu,false,""
2024-01-04T13:00:00.000000,Denmark,Denmark,DK,250.24,322.56,65.43,64.16,entsoe.eu,false,""
2024-01-04T14:00:00.000000,Denmark,Denmark,DK,268.29,346.02,60.67,58.97,entsoe.eu,false,""
2024-01-04T15:00:00.000000,Denmark,Denmark,DK,292.09,371.61,56.04,53.48,entsoe.eu,false,""
2024-01-04T16:00:00.000000,Denmark,Denmark,DK,319.68,399.96,54.58,52.04,entsoe.eu,false,""
2024-01-04T17:00:00.000000,Denmark,Denmark,DK,321.39,406.38,51.59,49.42,entsoe.eu,false,""
2024-01-04T18:00:00.000000,Denmark,Denmark,DK,301.28,389.67,51.37,48.25,entsoe.eu,false,""
2024-01-04T19:00:00.000000,Denmark,Denmark,DK,290.01,376.61,55.21,52.8,entsoe.eu,false,""
2024-01-04T20:00:00.000000,Denmark,Denmark,DK,278.99,364.46,57.17,55.02,entsoe.eu,false,""
2024-01-04T21:00:00.000000,Denmark,Denmark,DK,243.24,325.44,62.8,58.51,entsoe.eu,false,""
2024-01-04T22:00:00.000000,Denmark,Denmark,DK,198.56,275.55,69.8,63.43,entsoe.eu,false,""
2024-01-04T23:00:00.000000,Denmark,Denmark,DK,216.76,301.77,67.25,64.77,entsoe.eu,false,""
2024-01-05T00:00:00.000000,Denmark,Denmark,DK,232.96,315.55,66.3,63.15,entsoe.eu,false,""
2024-01-05T01:00:00.000000,Denmark,Denmark,DK,231.35,310.16,66.91,63.26,entsoe.eu,false,""
2024-01-05T02:00:00.000000,Denmark,Denmark,DK,217.57,293.8,68.72,65.6,entsoe.eu,false,""
2024-01-05T03:00:00.000000,Denmark,Denmark,DK,199.96,272.91,70.71,68.19,entsoe.eu,false,""
2024-01-05T04:00:00.000000,Denmark,Denmark,DK,183.81,256.64,71.97,69.44,entsoe.eu,false,""
2024-01-05T05:00:00.000000,Denmark,Denmark,DK,181.46,253.58,71.68,68.65,entsoe.eu,false,""
2024-01-05T06:00:00.000000,Denmark,Denmark,DK,187.46,256.7,73.17,72.11,entsoe.eu,false,""
2024-01-05T07:00:00.000000,Denmark,Denmark,DK,177.45,244.75,74.43,73.3,entsoe.eu,false,""
2024-01-05T08:00:00.000000,Denmark,Denmark,DK,189.44,256.73,73.8,73.03,entsoe.eu,false,""
2024-01-05T09:00:00.000000,Denmark,Denmark,DK,183.44,249.34,74.65,74.0,entsoe.eu,false,""
2024-01-05T10:00:00.000000,Denmark,Denmark,DK,180.5,245.22,74.7,74.12,entsoe.eu,false,""
2024-01-05T11:00:00.000000,Denmark,Denmark,DK,190.34,254.79,73.73,72.96,entsoe.eu,false,""
2024-01-05T12:00:00.000000,Denmark,Denmark,DK,181.72,245.8,74.76,73.96,entsoe.eu,false,""
2024-01-05T13:00:00.000000,Denmark,Denmark,DK,184.95,249.0,74.19,73.43,entsoe.eu,false,""
2024-01-05T14:00:00.000000,Denmark,Denmark,DK,183.48,246.68,74.2,73.49,entsoe.eu,false,""
2024-01-05T15:00:00.000000,Denmark,Denmark,DK,200.02,263.57,72.14,71.32,entsoe.eu,false,""
2024-01-05T16:00:00.000000,Denmark,Denmark,DK,203.79,266.61,71.98,70.91,entsoe.eu,false,""
2024-01-05T17:00:00.000000,Denmark,Denmark,DK,204.32,266.84,71.88,70.99,entsoe.eu,false,""
2024-01-05T18:00:00.000000,Denmark,Denmark,DK,204.85,266.73,71.71,71.07,entsoe.eu,false,""
2024-01-05T19:00:00.000000,Denmark,Denmark,DK,213.43,276.7,70.63,70.0,entsoe.eu,false,""
2024-01-05T20:00:00.000000,Denmark,Denmark,DK,217.99,281.14,70.61,69.79,entsoe.eu,false,""
2024-01-05T21:00:00.000000,Denmark,Denmark,DK,212.11,273.33,71.28,70.56,entsoe.eu,false,""
2024-01-05T22:00:00.000000,Denmark,Denmark,DK,194.01,256.35,73.36,72.62,entsoe.eu,false,""
2024-01-05T23:00:00.000000,Denmark,Denmark,DK,205.66,270.56,72.18,70.89,entsoe.eu,false,""
