Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01T00:00:00.000000,Denmark,Denmark,DK,98.74,144.67,86.34,84.08,entsoe.eu,false,""
2023-01-01T01:00:00.000000,Denmark,Denmark,DK,104.05,152.09,85.63,83.34,entsoe.eu,false,""
2023-01-01T02:00:00.000000,Denmark,Denmark,DK,112.28,162.66,84.67,82.03,entsoe.eu,false,""
2023-01-01T03:00:00.000000,Denmark,Denmark,DK,113.35,164.41,84.45,81.88,entsoe.eu,false,""
2023-01-01T04:00:00.000000,Denmark,Denmark,DK,114.96,166.53,84.23,81.46,entsoe.eu,false,""
2023-01-01T05:00:00.000000,Denmark,Denmark,DK,115.16,164.39,84.0,81.23,entsoe.eu,false,""
2023-01-01T06:00:00.000000,Denmark,Denmark,DK,111.23,156.59,84.73,82.13,entsoe.eu,false,""
2023-01-01T07:00:00.000000,Denmark,Denmark,DK,100.12,142.87,85.97,83.62,entsoe.eu,false,""
2023-01-01T08:00:00.000000,Denmark,Denmark,DK,89.39,130.25,87.93,86.0,entsoe.eu,false,""
2023-01-01T09:00:00.000000,Denmark,Denmark,DK,83.07,121.84,89.21,87.43,entsoe.eu,false,""
2023-01-01T10:00:00.000000,Denmark,Denmark,DK,82.26,121.52,89.35,87.55,entsoe.eu,false,""
2023-01-01T11:00:00.000000,Denmark,Denmark,DK,77.81,116.29,89.87,88.27,entsoe.eu,false,""
2023-01-01T12:00:00.000000,Denmark,Denmark,DK,93.14,133.38,88.02,86.2,entsoe.eu,false,""
2023-01-01T13:00:00.000000,Denmark,Denmark,DK,77.58,113.15,89.82,88.39,entsoe.eu,false,""
2023-01-01T14:00:00.000000,Denmark,Denmark,DK,76.18,112.67,89.69,88.48,entsoe.eu,false,""
2023-01-01T15:00:00.000000,Denmark,Denmark,DK,80.08,116.42,88.97,86.36,entsoe.eu,false,""
2023-01-01T16:00:00.000000,Denmark,Denmark,DK,86.44,125.59,87.91,84.31,entsoe.eu,false,""
2023-01-01T17:00:00.000000,Denmark,Denmark,DK,92.5,134.81,87.16,83.37,entsoe.eu,false,""
2023-01-01T18:00:00.000000,Denmark,Denmark,DK,87.25,129.18,88.1,83.64,entsoe.eu,false,""
2023-01-01T19:00:00.000000,Denmark,Denmark,DK,91.09,131.5,87.61,82.46,entsoe.eu,false,""
2023-01-01T20:00:00.000000,Denmark,Denmark,DK,88.95,131.62,87.87,82.92,entsoe.eu,false,""
2023-01-01T21:00:00.000000,Denmark,Denmark,DK,90.12,133.37,87.76,82.15,entsoe.eu,false,""
2023-01-01T22:00:00.000000,Denmark,Denmark,DK,97.5,142.81,86.96,80.07,entsoe.eu,false,""
2023-01-01T23:00:00.000000,Denmark,Denmark,DK,104.42,152.97,85.76,77.37,entsoe.eu,false,""
2023-01-02T00:00:00.000000,Denmark,Denmark,DK,125.33,176.93,83.4,74.18,entsoe.eu,false,""
2023-01-02T01:00:00.000000,Denmark,Denmark,DK,130.94,184.14,82.68,73.63,entsoe.eu,false,""
2023-01-02T02:00:00.000000,Denmark,Denmark,DK,149.66,205.95,80.12,73.52,entsoe.eu,false,""
2023-01-02T03:00:00.000000,Denmark,Denmark,DK,153.47,210.6,79.8,70.41,entsoe.eu,false,""
2023-01-02T04:00:00.000000,Denmark,Denmark,DK,176.17,241.18,77.22,70.4,entsoe.eu,false,""
2023-01-02T05:00:00.000000,Denmark,Denmark,DK,189.96,260.14,75.38,68.34,entsoe.eu,false,""
2023-01-02T06:00:00.000000,Denmark,Denmark,DK,195.95,264.77,74.09,67.18,entsoe.eu,false,""
2023-01-02T07:00:00.000000,Denmark,Denmark,DK,200.25,268.87,72.86,67.11,entsoe.eu,false,""
2023-01-02T08:00:00.000000,Denmark,Denmark,DK,206.33,276.05,72.5,68.27,entsoe.eu,false,""
2023-01-02T09:00:00.000000,Denmark,Denmark,DK,222.33,293.63,70.79,68.47,entsoe.eu,false,""
2023-01-02T10:00:00.000000,Denmark,Denmark,DK,209.57,278.62,71.79,68.26,entsoe.eu,false,""
