Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01T00:00:00.000000,Denmark,Denmark,DK,98.44,157.25,86.4,82.22,entsoe.eu,false,""
2022-01-01T01:00:00.000000,Denmark,Denmark,DK,95.17,151.33,86.64,82.94,entsoe.eu,false,""
2022-01-01T02:00:00.000000,Denmark,Denmark,DK,103.17,162.72,85.54,82.23,entsoe.eu,false,""
2022-01-01T03:00:00.000000,Denmark,Denmark,DK,116.98,180.28,82.85,78.36,entsoe.eu,false,""
2022-01-01T04:00:00.000000,Denmark,Denmark,DK,126.3,190.13,81.32,77.95,entsoe.eu,false,""
2022-01-01T05:00:00.000000,Denmark,Denmark,DK,137.04,203.23,80.03,76.18,entsoe.eu,false,""
2022-01-01T06:00:00.000000,Denmark,Denmark,DK,145.62,214.44,78.44,73.04,entsoe.eu,false,""
2022-01-01T07:00:00.000000,Denmark,Denmark,DK,167.85,247.78,75.59,69.5,entsoe.eu,false,""
2022-01-01T08:00:00.000000,Denmark,Denmark,DK,191.65,277.32,72.78,65.93,entsoe.eu,false,""
2022-01-01T09:00:00.000000,Denmark,Denmark,DK,173.05,254.6,75.49,65.18,entsoe.eu,false,""
2022-01-01T10:00:00.000000,Denmark,Denmark,DK,196.72,281.75,73.08,64.54,entsoe.eu,false,""
2022-01-01T11:00:00.000000,Denmark,Denmark,DK,214.49,300.86,71.0,63.13,entsoe.eu,false,""
2022-01-01T12:00:00.000000,Denmark,Denmark,DK,218.54,301.11,70.41,63.01,entsoe.eu,false,""
2022-01-01T13:00:00.000000,Denmark,Denmark,DK,215.15,300.87,71.14,64.5,entsoe.eu,false,""
2022-01-01T14:00:00.000000,Denmark,Denmark,DK,218.73,303.72,70.21,65.06,entsoe.eu,false,""
2022-01-01T15:00:00.000000,Denmark,Denmark,DK,212.34,291.75,70.71,66.11,entsoe.eu,false,""
2022-01-01T16:00:00.000000,Denmark,Denmark,DK,214.98,289.2,70.26,67.69,entsoe.eu,false,""
2022-01-01T17:00:00.000000,Denmark,Denmark,DK,199.03,270.42,72.63,70.93,entsoe.eu,false,""
2022-01-01T18:00:00.000000,Denmark,Denmark,DK,170.08,235.21,76.76,76.07,entsoe.eu,false,""
2022-01-01T19:00:00.000000,Denmark,Denmark,DK,137.27,193.85,80.97,79.69,entsoe.eu,false,""
2022-01-01T20:00:00.000000,Denmark,Denmark,DK,116.6,167.89,83.65,82.29,entsoe.eu,false,""
2022-01-01T21:00:00.000000,Denmark,Denmark,DK,105.82,155.25,84.91,82.77,entsoe.eu,false,""
2022-01-01T22:00:00.000000,Denmark,Denmark,DK,84.78,130.86,88.11,84.46,entsoe.eu,false,""
2022-01-01T23:00:00.000000,Denmark,Denmark,DK,87.73,134.06,87.82,83.28,entsoe.eu,false,""
2022-01-02T00:00:00.000000,Denmark,Denmark,DK,84.56,130.98,88.14,83.5,entsoe.eu,false,""
2022-01-02T01:00:00.000000,Denmark,Denmark,DK,83.85,130.54,88.04,84.53,entsoe.eu,false,""
2022-01-02T02:00:00.000000,Denmark,Denmark,DK,106.25,159.25,84.21,83.54,entsoe.eu,false,""
2022-01-02T03:00:00.000000,Denmark,Denmark,DK,113.08,167.23,83.21,81.54,entsoe.eu,false,""
2022-01-02T04:00:00.000000,Denmark,Denmark,DK,113.16,164.27,83.05,81.05,entsoe.eu,false,""
2022-01-02T05:00:00.000000,Denmark,Denmark,DK,117.98,171.27,82.45,79.96,entsoe.eu,false,""
2022-01-02T06:00:00.000000,Denmark,Denmark,DK,118.2,173.31,82.51,80.25,entsoe.eu,false,""
2022-01-02T07:00:00.000000,Denmark,Denmark,DK,123.16,182.74,81.82,79.58,entsoe.eu,false,""
2022-01-02T08:00:00.000000,Denmark,Denmark,DK,124.67,185.23,81.5,78.25,entsoe.eu,false,""
2022-01-02T09:00:00.000000,Denmark,Denmark,DK,130.18,194.18,81.07,77.88,entsoe.eu,false,""
2022-01-02T10:00:00.000000,Denmark,Denmark,DK,137.5,206.28,80.31,77.7,entsoe.eu,false,""
2022-01-02T11:00:00.000000,Denmark,Denmark,DK,136.99,206.55,80.91,76.6,entsoe.eu,false,""
2022-01-02T12:00:00.000000,Denmark,Denmark,DK,152.91,225.92,78.86,75.01,entsoe.eu,false,""
2022-01-02T13:00:00.000000,Denmark,Denmark,DK,158.32,234.45,79.04,74.37,entsoe.eu,false,""
2022-01-02T14:00:00.000000,Denmark,Denmark,DK,160.7,233.45,78.91,74.75,entsoe.eu,false,""
2022-01-02T15:00:00.000000,Denmark,Denmark,DK,145.64,217.57,80.69,77.32,entsoe.eu,false,""
2022-01-02T16:00:00.000000,Denmark,Denmark,DK,145.75,213.22,80.68,77.26,entsoe.eu,false,""
2022-01-02T17:00:00.000000,Denmark,Denmark,DK,115.45,177.28,84.54,81.45,entsoe.eu,false,""
2022-01-02T18:00:00.000000,Denmark,Denmark,DK,95.07,151.93,87.09,84.25,entsoe.eu,false,""
