Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01T00:00:00.000000,Denmark,Denmark,DK,124.66,194.25,81.99,69.99,entsoe.eu,false,""
2021-01-01T01:00:00.000000,Denmark,Denmark,DK,111.3,182.42,83.66,70.19,entsoe.eu,false,""
2021-01-01T02:00:00.000000,Denmark,Denmark,DK,108.22,179.2,83.96,70.1,entsoe.eu,false,""
2021-01-01T03:00:00.000000,Denmark,Denmark,DK,111.48,183.04,83.55,69.64,entsoe.eu,false,""
2021-01-01T04:00:00.000000,Denmark,Denmark,DK,118.55,191.54,82.64,69.15,entsoe.eu,false,""
2021-01-01T05:00:00.000000,Denmark,Denmark,DK,123.02,198.14,82.09,68.95,entsoe.eu,false,""
2021-01-01T06:00:00.000000,Denmark,Denmark,DK,126.75,202.8,81.11,68.12,entsoe.eu,false,""
2021-01-01T07:00:00.000000,Denmark,Denmark,DK,126.77,205.66,80.86,68.12,entsoe.eu,false,""
2021-01-01T08:00:00.000000,Denmark,Denmark,DK,133.5,208.67,80.03,67.03,entsoe.eu,false,""
2021-01-01T09:00:00.000000,Denmark,Denmark,DK,142.42,220.45,78.85,67.17,entsoe.eu,false,""
2021-01-01T10:00:00.000000,Denmark,Denmark,DK,142.53,219.45,78.79,67.21,entsoe.eu,false,""
2021-01-01T11:00:00.000000,Denmark,Denmark,DK,155.04,231.42,76.99,65.13,entsoe.eu,false,""
2021-01-01T12:00:00.000000,Denmark,Denmark,DK,159.38,237.84,76.25,64.52,entsoe.eu,false,""
2021-01-01T13:00:00.000000,Denmark,Denmark,DK,153.21,232.23,76.78,65.19,entsoe.eu,false,""
2021-01-01T14:00:00.000000,Denmark,Denmark,DK,170.15,251.22,74.8,63.9,entsoe.eu,false,""
2021-01-01T15:00:00.000000,Denmark,Denmark,DK,176.95,260.16,73.59,63.03,entsoe.eu,false,""
2021-01-01T16:00:00.000000,Denmark,Denmark,DK,188.14,270.96,72.37,61.96,entsoe.eu,false,""
2021-01-01T17:00:00.000000,Denmark,Denmark,DK,187.95,271.27,72.63,62.41,entsoe.eu,false,""
2021-01-01T18:00:00.000000,Denmark,Denmark,DK,185.18,268.14,72.96,62.24,entsoe.eu,false,""
2021-01-01T19:00:00.000000,Denmark,Denmark,DK,179.65,261.41,73.18,62.09,entsoe.eu,false,""
2021-01-01T20:00:00.000000,Denmark,Denmark,DK,176.59,258.83,73.64,62.29,entsoe.eu,false,""
2021-01-01T21:00:00.000000,Denmark,Denmark,DK,170.4,255.8,74.99,63.34,entsoe.eu,false,""
2021-01-01T22:00:00.000000,Denmark,Denmark,DK,163.46,248.63,76.09,63.52,entsoe.eu,false,""
2021-01-01T23:00:00.000000,Denmark,Denmark,DK,136.22,215.15,79.75,65.77,entsoe.eu,false,""
2021-01-02T00:00:00.000000,Denmark,Denmark,DK,138.0,216.92,79.46,65.58,entsoe.eu,false,""
2021-01-02T01:00:00.000000,Denmark,Denmark,DK,125.57,204.53,80.81,66.85,entsoe.eu,false,""
2021-01-02T02:00:00.000000,Denmark,Denmark,DK,117.76,196.51,81.74,67.74,entsoe.eu,false,""
2021-01-02T03:00:00.000000,Denmark,Denmark,DK,113.56,190.37,82.06,67.82,entsoe.eu,false,""
2021-01-02T04:00:00.000000,Denmark,Denmark,DK,120.01,193.65,81.42,66.91,entsoe.eu,false,""
2021-01-02T05:00:00.000000,Denmark,Denmark,DK,130.09,204.73,80.0,66.71,entsoe.eu,false,""
2021-01-02T06:00:00.000000,Denmark,Denmark,DK,142.79,218.13,77.95,65.03,entsoe.eu,false,""
2021-01-02T07:00:00.000000,Denmark,Denmark,DK,146.96,223.76,76.55,64.74,entsoe.eu,false,""
2021-01-02T08:00:00.000000,Denmark,Denmark,DK,159.71,233.97,75.2,62.92,entsoe.eu,false,""
2021-01-02T09:00:00.000000,Denmark,Denmark,DK,155.59,231.98,75.88,63.98,entsoe.eu,false,""
2021-01-02T10:00:00.000000,Denmark,Denmark,DK,163.69,242.9,75.35,63.97,entsoe.eu,false,""
2021-01-02T11:00:00.000000,Denmark,Denmark,DK,172.75,250.95,74.4,62.99,entsoe.eu,false,""
2021-01-02T12:00:00.000000,Denmark,Denmark,DK,168.23,246.03,74.86,63.22,entsoe.eu,false,""
