station_id,name,country,latitude,longitude,status,valid_from,valid_to,precipitation_observations,first_precipitation_date,last_precipitation_date,min_precipitation_mm,max_precipitation_mm,avg_precipitation_mm,total_precipitation_sample_mm
05276,Voulund Testfelt P,DNK,56.0372,9.1594,Active,2009-04-16T00:00:00Z,2024-07-31T00:00:00Z,4422,2011-12-13T00:00:00.001000+01:00,2024-08-01T00:00:00.001000+02:00,0.0,56.5,2.5,11037.3
05277,Høgild,DNK,56.0626,8.9854,Active,2011-10-17T00:00:00Z,,4872,2011-12-20T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,82.9,2.63,12808.5
05290,Hvidbjerg,DNK,56.6553,8.5476,Active,2009-12-14T00:00:00Z,2010-05-04T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,42.2,2.35,11856.6
05296,Trans,DNK,56.5032,8.1465,Active,2012-06-12T00:00:00Z,,4066,2012-06-25T00:00:00.001000+02:00,2025-09-24T00:00:00.001000+02:00,0.0,45.4,2.46,10017.5
05300,Øby,DNK,56.2601,8.1653,Active,2009-12-14T00:00:00Z,2011-10-28T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,55.5,2.45,12319.2
05305,Grønbjerg,DNK,56.1837,8.4871,Active,2021-01-25T10:04:02Z,2021-05-28T09:54:27Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,69.1,2.85,14362.0
05320,Skovlund,DNK,55.7246,8.6932,Active,2009-12-09T00:00:00Z,2011-02-23T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,50.0,2.56,12880.5
05329,Outrup,DNK,55.723,8.3327,Active,2012-10-25T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,72.7,2.67,13432.2
05343,Holsted,DNK,55.4929,8.9036,Active,2013-07-24T00:00:00Z,,4438,2013-08-01T00:00:00.001000+02:00,2025-09-24T00:00:00.001000+02:00,0.0,62.1,2.73,12113.0
05345,Ribe Renseanlæg,DNK,55.329,8.7436,Active,2009-12-09T00:00:00Z,2011-09-27T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,54.3,2.51,12635.1
05350,Bredebro,DNK,55.0562,8.8327,Active,2011-02-23T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,81.0,2.6,13099.2
05355,Emmerlev Klev,DNK,54.9872,8.6652,Active,2009-12-09T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,85.3,2.37,11936.2
05365,Kliplev,DNK,54.9316,9.4116,Active,2009-12-09T00:00:00Z,2011-09-28T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,67.5,2.52,12677.8
05375,Nørreløkke,DNK,55.0646,9.68,Active,2011-09-28T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,47.9,1.94,9783.5
05381,Rangstrup,DNK,55.147,9.2057,Active,2015-07-21T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,64.3,2.57,12957.0
05384,Vojens Airport,DNK,55.2217,9.292,Active,2024-10-07T09:03:53Z,,313,2024-11-12T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,32.3,2.07,648.0
05395,Hajstrup,DNK,55.2555,9.6684,Active,2009-12-09T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,46.2,2.1,10578.1
05400,Båring,DNK,55.4935,9.8953,Active,2009-12-09T00:00:00Z,2011-11-04T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,76.1,2.0,10057.1
05406,Tørresø,DNK,55.5815,10.393,Active,2014-10-28T00:00:00Z,,3743,2014-11-06T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,71.6,1.75,6539.2
